Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Annual_CTC_LPA,Comp_Ratio,Overwork_Strain,Role_Friction
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,8.68785,1.3210546723536252,9.0,1.2
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,21293,0,No,11,3,3,0,13,4,3,12,6,2,11,30.5847,0.7264688067837675,7.0,1.2
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,3.1416,0.42666666666666664,15.0,1.4
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,7.548,1.025108225108225,6.0,1.4
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,48.6897,1.0939299321091982,5.0,1.8
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,9.99345,1.3572294372294371,32.0,1.4
42,No,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,17.40375,1.0953298025999036,8.0,1.0
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,26.1324,1.5046248715313464,7.0,1.2
46,No,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,48.31485,1.0855080351771749,2.0,1.8
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,6670,4,No,11,3,4,0,7,3,3,1,1,0,0,6.3648,0.8648648648648648,2.0,1.2
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3,16.48575,0.9491998238144178,20.0,1.2
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,16117,1,No,13,3,1,0,10,5,3,10,0,1,8,5.6253,0.7643797643797644,9.0,1.2
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,3335,3,No,14,3,3,1,19,6,4,1,0,0,0,5.3193,0.8088406359053897,5.0,1.2
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,5.84715,0.7941125541125541,2.0,1.4
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,21923,1,No,12,3,4,2,6,3,2,5,3,1,4,6.74475,0.916017316017316,2.0,1.4
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2,6.84165,1.0403257076386194,6.0,1.2
35,No,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,5.1357,0.7809228383094222,2.0,1.2
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,8.71845,1.184069264069264,10.0,1.4
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,3193,2,No,19,3,1,2,10,3,3,5,3,1,3,13.7088,0.862782859894078,1.0,1.0
35,No,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,10910,1,No,12,3,3,1,1,3,3,1,0,0,0,4.97505,0.6760221760221761,4.0,1.2
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,19715,1,No,13,3,4,1,1,6,3,1,0,0,0,5.96955,0.8111573111573112,2.0,1.2
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,10558,1,No,12,3,3,0,1,2,2,1,0,0,1,5.84715,0.7945252945252945,25.0,1.2
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,22.2513,1.4004172684962284,8.0,1.0
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,10.22805,1.3898128898128896,1.0,1.2
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,49.83975,1.1838279830405816,12.0,1.2
34,No,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,11.6484,0.7331086502969025,23.0,1.0
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,7.7061,1.0465800865800865,19.0,1.4
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,14.7186,0.926336061627347,10.0,1.0
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,5.78595,0.7862092862092861,8.0,1.2
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0,13.72155,1.8645183645183645,2.0,1.2
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2,8.77455,1.1923076923076923,10.0,1.2
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,13.9077,0.875300914780934,2.0,1.0
35,No,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,25.2042,1.4511819116135662,22.0,1.2
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0,10.60035,0.6671481303161612,46.0,1.0
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,34.3179,0.8151423379769838,2.0,1.2
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,11031,1,No,22,4,4,1,9,3,2,9,8,1,8,23.12595,1.455464612421762,18.0,1.0
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2,10.2357,1.3908523908523907,46.0,1.2
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,9528,3,No,22,4,4,1,10,3,2,7,7,1,7,15.08325,2.0495495495495493,7.0,1.2
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,2689,1,No,18,3,3,1,7,2,4,7,5,0,7,15.28215,0.9295796494493562,1.0,1.2
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,15.7131,0.955793392275477,2.0,1.2
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,5456,1,No,11,3,4,0,10,2,3,10,3,9,9,6.1353,0.8336798336798337,29.0,1.2
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8,47.787,1.1350696547546941,14.0,1.2
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,2354,7,No,11,3,4,0,28,3,2,21,16,7,9,19.47435,1.2256459637297383,25.0,1.0
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,8202,1,No,13,3,2,3,17,2,3,17,14,12,8,25.7448,1.4823080311261196,8.0,1.2
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2,37.6278,0.8453980348907159,16.0,1.8
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,22656,1,No,13,3,3,0,6,3,3,6,5,0,3,16.57245,1.0080657670234217,11.0,1.2
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,18787,2,No,17,3,3,1,25,2,3,1,0,0,0,24.7962,3.3676190476190473,7.0,1.4
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,5.5947,0.7598268398268397,1.0,1.4
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0,8.6394,1.1733333333333333,18.0,1.4
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,24668,7,No,11,3,4,0,20,2,2,4,3,1,3,13.95615,0.8783501845610655,1.0,1.0
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,4956,0,No,23,4,4,1,6,3,3,5,4,0,4,6.89265,0.936103896103896,2.0,1.4
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,6.37755,0.8661471861471862,1.0,1.4
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,7346,1,No,17,3,2,2,10,3,3,10,4,0,9,15.861,2.154112554112554,1.0,1.4
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,7.7469,1.0526680526680527,6.0,1.2
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,20682,1,No,23,4,4,0,11,2,3,11,7,1,8,11.2812,0.6862106406080347,8.0,1.2
35,No,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,23016,0,No,14,3,2,0,16,2,3,15,13,2,8,10.9956,0.6920237522067083,1.0,1.0
45,No,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0,33.77475,0.8022410660205935,12.0,1.2
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,34.8432,0.8276196244700184,7.0,1.2
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2,12.80355,1.6233430326543807,10.0,1.2
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0,13.0713,1.7761607761607763,2.0,1.2
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,26278,1,No,18,3,1,0,6,3,3,6,4,0,4,7.29045,0.9901298701298701,1.0,1.4
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,18092,3,No,14,3,4,1,24,4,3,1,0,1,0,26.10945,1.6432354357246026,1.0,1.0
38,No,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,13.58895,1.8455411255411256,12.0,1.4
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,17736,1,No,15,3,3,0,5,2,3,5,2,1,3,11.02875,0.6708546610826741,1.0,1.2
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,21698,4,No,11,3,1,0,37,3,2,6,4,0,2,18.513,1.126105165193113,7.0,1.2
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,9518,3,No,13,3,3,1,3,3,3,0,0,0,0,5.9211,0.9003489724699496,2.0,1.2
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,18725,3,No,23,4,2,2,10,4,3,4,2,0,3,5.29125,0.718988218988219,9.0,1.2
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,15830,1,No,19,3,1,3,11,3,3,11,10,10,8,10.5876,0.6096021142269857,2.0,1.2
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,13596,1,No,16,3,4,0,9,3,3,9,8,4,7,24.52845,1.5437329481624136,9.0,1.0
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,14115,1,No,22,4,4,1,22,3,2,22,3,11,11,34.43265,1.9825282631038028,1.0,1.2
51,No,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,8423,0,Yes,22,4,4,0,11,2,1,10,7,1,0,13.87455,0.8732145722997913,42.0,1.0
30,No,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,19760,1,Yes,12,3,2,3,11,4,2,11,8,2,7,13.28295,0.8359813834055528,8.0,1.0
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,3142,2,Yes,13,3,3,1,21,5,2,10,9,9,5,27.21615,1.5670239318749082,2.0,1.2
32,No,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,24301,1,No,16,3,1,0,12,0,3,11,8,5,7,12.7755,0.8040442946557533,6.0,1.0
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,60,3,3,Research Director,3,Married,24001,9,No,12,3,1,1,16,5,1,4,3,0,3,34.54995,0.8206541490006058,2.0,1.2
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,17519,0,No,21,4,1,1,4,2,2,3,2,0,2,12.74745,0.8022789279409405,3.0,1.0
28,No,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,8863,1,No,15,3,2,0,5,3,4,5,4,0,4,10.76355,0.6774193548387096,4.0,1.0
58,No,Travel_Rarely,682,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,24409,0,No,13,3,3,0,38,1,2,37,10,1,8,35.3736,2.2262879152623976,10.0,1.0
44,No,Non-Travel,489,Research & Development,23,3,Medical,2,Male,67,3,2,Laboratory Technician,2,Married,25043,4,No,12,3,3,1,17,3,4,3,2,1,2,5.2071,0.7075537075537075,23.0,1.2
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,3,Male,63,3,1,Human Resources,1,Divorced,23648,4,Yes,22,4,4,0,7,3,3,3,2,0,2,5.28615,0.6702230843840932,12.0,1.2
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,4,Male,71,3,1,Research Scientist,1,Single,15178,1,No,13,3,4,0,1,2,3,1,0,0,0,7.5378,1.0237229437229436,1.0,1.4
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,4,Female,66,2,1,Laboratory Technician,4,Single,19783,1,Yes,18,3,2,0,1,5,3,1,0,1,0,7.4613,1.0138600138600138,12.0,1.2
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,Female,41,3,2,Research Scientist,3,Single,12482,1,No,14,3,3,0,16,3,3,16,13,2,10,12.26295,1.6654545454545455,6.0,1.4
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,3,Male,100,2,2,Healthcare Representative,4,Divorced,15850,5,No,14,3,4,1,17,2,4,1,0,0,0,13.16565,0.7580384671854353,2.0,1.2
59,No,Non-Travel,1420,Human Resources,2,4,Human Resources,3,Female,32,2,5,Manager,4,Married,21922,9,No,21,4,4,1,30,3,3,3,2,2,2,48.0522,1.0796069781431723,2.0,1.8
50,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,Female,73,3,5,Research Director,2,Married,9755,3,Yes,19,3,1,0,28,1,2,8,3,0,7,46.3386,1.1006662628709873,2.0,1.2
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,3,Male,46,2,2,Sales Executive,3,Single,26959,1,Yes,11,3,4,0,6,1,3,6,4,0,3,14.6472,0.921842400898732,10.0,1.0
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,4,Male,64,2,1,Research Scientist,4,Married,26897,1,No,11,3,3,2,2,2,3,2,2,2,1,7.36695,1.0005194805194806,7.0,1.4
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,2,Female,59,3,1,Laboratory Technician,4,Single,23785,1,No,15,3,3,0,1,5,3,0,0,0,0,7.32105,0.9948024948024947,15.0,1.2
51,No,Travel_Frequently,1456,Research & Development,1,4,Medical,1,Female,30,2,3,Healthcare Representative,1,Single,25796,3,No,20,4,3,0,23,1,2,13,12,12,8,19.0842,1.0988107473205109,1.0,1.2
34,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,Male,66,1,2,Laboratory Technician,3,Single,22887,1,Yes,24,4,4,0,9,3,3,9,7,0,6,15.4887,2.1046431046431047,14.0,1.2
54,No,Non-Travel,142,Human Resources,26,3,Human Resources,4,Female,30,4,4,Manager,4,Single,13871,2,Yes,12,3,3,0,23,3,3,5,3,4,4,44.1864,0.9927525852931909,52.0,1.8
24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,2,Male,52,3,1,Laboratory Technician,3,Married,13257,0,No,12,3,3,1,6,2,3,5,3,1,2,7.0737,0.9611919611919612,18.0,1.2
34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,3,Female,45,2,2,Research Scientist,2,Divorced,15000,6,No,15,3,3,1,12,3,3,1,0,0,0,11.48775,1.56017316017316,6.0,1.4
37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,3,Male,87,3,3,Sales Executive,4,Single,14506,2,No,12,3,1,0,12,3,3,5,3,1,3,18.9414,1.1921039961482909,3.0,1.0
34,No,Travel_Rarely,1354,Research & Development,5,3,Medical,3,Female,45,2,3,Manager,1,Single,5615,2,No,12,3,4,0,14,6,3,11,10,5,8,29.65905,0.6663611103153915,5.0,1.8
36,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,2,Female,92,3,3,Sales Executive,4,Married,22952,0,No,14,3,3,1,10,6,3,9,7,2,8,24.8319,1.5628310062590274,11.0,1.0
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,Female,39,3,1,Laboratory Technician,4,Divorced,2561,5,No,22,4,1,1,7,2,3,1,0,0,0,7.22925,0.9823284823284824,3.0,1.2
43,No,Travel_Frequently,394,Sales,26,2,Life Sciences,3,Male,92,3,4,Manager,4,Married,19494,1,Yes,12,3,4,2,25,3,4,25,12,4,12,43.24545,0.9716119052393365,52.0,1.8
30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,Male,96,1,1,Research Scientist,3,Divorced,22310,1,No,25,4,3,3,10,2,2,10,7,0,9,6.66315,0.9049350649350649,23.0,1.4
33,No,Non-Travel,750,Sales,22,2,Marketing,3,Male,95,3,2,Sales Executive,2,Married,15480,0,No,13,3,1,1,8,2,4,7,7,0,7,15.6723,0.9863585299309902,22.0,1.0
56,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,2,Female,72,3,1,Research Scientist,2,Married,4510,9,Yes,18,3,1,3,7,2,3,5,4,4,3,12.65565,1.7187878787878788,28.0,1.4
51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,Male,51,3,5,Research Director,3,Single,6462,7,No,13,3,3,0,23,5,3,20,18,15,15,49.81935,1.1833434282253181,6.0,1.2
31,Yes,Travel_Rarely,249,Sales,6,4,Life Sciences,2,Male,76,1,2,Sales Executive,3,Married,20739,4,Yes,18,3,2,0,12,3,2,7,7,7,7,15.7386,0.9905312148932754,12.0,1.0
26,No,Travel_Rarely,841,Research & Development,6,3,Other,3,Female,46,2,1,Research Scientist,2,Married,23300,1,No,19,3,3,0,5,3,2,5,4,4,3,6.0384,0.8200865800865801,6.0,1.4
